Title,Author,Reviews,Price,Paperback,Publisher,Language,ISBN-10,ISBN-13,Product Dimensions,Shipping Weight,Average Customer Review,Amazon Best Sellers Rank
A Thousand Splendid Suns,Khaled Hosseini,4763,$10.10,432 pages,"Riverhead Books; Reprint edition (November 25, 2008)",English,159448385X,978-0739489505,5.1 x 0.9 x 8 inches,9.6 ounces,4.7 out of 5 stars,#811 in Books
All the Weight of Our Dreams: On Living Racialized Autism,Brown,14,$24.99,554 pages,"DragonBee Press (June 19, 2017)",English,0997504501,978-0997504507,5.5 x 1.4 x 8.5 inches,1.5 pounds,4.9 out of 5 stars,"#507,407 in Books"
Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,James Clear,925,$13.04,,"Avery (October 16, 2018)",English,0735211299,978-0735211292,6.3 x 1 x 9.3 inches,1.2 pounds,4.9 out of 5 stars,#67 in Books
Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,2394,$16.77,,"Knopf; 1 edition (May 21, 2018)",English,152473165X,978-1524731656,6.3 x 1.3 x 9.6 inches,1.5 pounds,4.8 out of 5 stars,#185 in Books
Becoming,Michelle Obama,12650,$19.50,,"Crown Publishing Group; 1st edition (November 13, 2018)",English,1524763136,978-1524763138,6.4 x 1.2 x 9.5 inches,1.8 pounds,4.9 out of 5 stars,#10 in Books
Blindness (Harvest Book),Jose Saramago,700,$9.27,352 pages,"Harvest Books; First edition (October 4, 1999)",English,0156007754,978-0156007757,5.3 x 0.9 x 8 inches,7.2 ounces,3.7 out of 5 stars,"#26,014 in Books"
Bullshit Jobs: A Theory,David Graeber,71,$18.36,,"Simon & Schuster (May 15, 2018)",English,150114331X,978-1501143311,6 x 1.2 x 9 inches,1.2 pounds,3.7 out of 5 stars,"#26,907 in Books"
CIRCE,Madeline Miller,1490,$17.41,,"Little, Brown and Company; 1st Edition edition (April 10, 2018)",English,0316556343,978-0316556347,6.4 x 1.6 x 9.6 inches,1.4 pounds,4.6 out of 5 stars,#535 in Books
The Communist Manifesto,Karl Marx,1705,$2.88,48 pages,"International Publishers Co; New edition edition (February 7, 2014)",English,0717802418,978-0717802418,5 x 0.2 x 7.8 inches,3.2 ounces,3.8 out of 5 stars,"#2,678 in Books"
Dracula (Wordsworth Classics),Bram Stoker,2722,$3.90,352 pages,"Wordsworth Editions Ltd; New ed edition (September 1, 1997)",English,185326086X,978-1853260865,5.5 x 0.8 x 7.8 inches,7.8 ounces,4.4 out of 5 stars,"#656,295 in Books"
Embassytown: A Novel,China Miéville,287,$13.21,368 pages,"Del Rey (January 31, 2012)",English,9780345524508,978-0345524508,5.5 x 0.8 x 8.2 inches,11.2 ounces,3.9 out of 5 stars,"#344,554 in Books"
Everything That Rises Must Converge: Stories (FSG Classics),Flannery O'Connor,84,$12.99,320 pages,"Farrar, Straus and Giroux; First edition (January 1, 1965)",English,0374504644,978-0374504649,5.5 x 0.8 x 8.2 inches,9.6 ounces,4.2 out of 5 stars,"#41,781 in Books"
Factfulness: Ten Reasons We're Wrong About the World--and Why Things Are Better Than You Think,Hans Rosling,982,$14.81,,"Flatiron Books (April 3, 2018)",English,1250107814,978-1250107817,6.3 x 1.2 x 8.4 inches,1.2 pounds,4.6 out of 5 stars,#592 in Books
Fire and Fury: Inside the Trump White House,Michael Wolff,9903,$16.67,,"Henry Holt and Co.; 1st Edition edition (January 5, 2018)",English,1250158060,978-1250158062,6.4 x 1.1 x 9.5 inches,1.2 pounds,4.2 out of 5 stars,"#3,181 in Books"
Go Set a Watchman: A Novel,Harper Lee,11868,$10.64,288 pages,"Harper Perennial Modern Classics; Reprint edition (May 3, 2016)",English,9780062409867,978-0062409867,5.3 x 0.6 x 8 inches,7.2 ounces,3.5 out of 5 stars,"#7,671 in Books"
Grit: The Power of Passion and Perseverance,Angela Duckworth,1185,$14.69,,"Scribner; 1 edition (May 3, 2016)",English,9781501111105,978-1501111105,6 x 1.3 x 9 inches,1.4 pounds,4.5 out of 5 stars,"#3,390 in Books"
Letters to a Young Contrarian (Art of Mentoring (Paperback)),Christopher Hitchens,171,$8.98,160 pages,"Basic Books; Later ptg edition (April 13, 2005)",English,0465030335,978-0465030330,5 x 0.5 x 8 inches,3.2 ounces,4.5 out of 5 stars,"#24,882 in Books"
Negroland: A Memoir,Margo Jefferson,230,$10.87,272 pages,"Vintage; Reprint edition (August 23, 2016)",English,0307473430,978-0307473431,5.2 x 0.6 x 8 inches,7.2 ounces,3.7 out of 5 stars,"#99,333 in Books"
O Jerusalem!,Larry Collins,152,$12.60,640 pages,"Simon & Schuster; 1st Touchstone ed edition (May 15, 1988)",English,9780671662417,978-0671662417,5.5 x 1.3 x 8.4 inches,1.6 pounds,4.7 out of 5 stars,"#48,734 in Books"
Our Iceberg Is Melting: Changing and Succeeding Under Any Conditions,Holger Rathgeber,461,$15.62,,"Penguin Random House; 2 edition (January 5, 2016)",English,0399563911,978-0399563911,5.7 x 0.6 x 8.6 inches,14.4 ounces,4.4 out of 5 stars,"#8,323 in Books"
Physics for Future Presidents: The Science Behind the Headlines,Richard A. Muller,203,$16.74,384 pages,"W. W. Norton & Company; Reprint edition (September 21, 2009)",English,9780393337112,978-0393337112,5.5 x 1 x 8.3 inches,9.6 ounces,4.0 out of 5 stars,"#213,085 in Books"
Rocks of Ages: Science and Religion in the Fullness of Life,Stephen Jay Gould,66,$14.02,256 pages,"Ballantine Books; Reprint edition (February 26, 2002)",English,9780345450401,978-0345450401,5.1 x 0.6 x 8 inches,7.2 ounces,3.4 out of 5 stars,"#379,140 in Books"
Ruined,Amy Tintera,174,$5.73,384 pages,"HarperTeen; Reprint edition (April 4, 2017)",English,0062396617,978-0062396617,5.3 x 0.9 x 8 inches,9.9 ounces,4.4 out of 5 stars,"#501,791 in Books"
Slade House: A Novel,David Mitchell,601,$11.49,,"Random House; First Edition edition (October 27, 2015)",English,9780812998689,978-0812998689,6 x 0.8 x 7.5 inches,1.6 pounds,4.0 out of 5 stars,"#242,411 in Books"
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Daniel James Brown,20999,$13.49,404 pages,Penguin Books (2014),English,9780143125471,978-0316497039,5.5 x 0.9 x 8.4 inches,12 ounces,4.8 out of 5 stars,#608 in Books
The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are,Brené Brown,4027,$8.97,160 pages,"Hazelden Publishing; 1 edition (August 27, 2010)",English,9781592858491,978-1592858491,6 x 0.4 x 9 inches,7.2 ounces,4.6 out of 5 stars,#36 in Books
The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus,Richard Preston,1795,$7.99,,"Anchor; 1 edition (July 20, 1995)",English,0385479565,978-0385479561,4.2 x 1 x 6.9 inches,7.8 ounces,4.7 out of 5 stars,#353 in Books
The Idiot,Elif Batuman,224,$19.46,,"Penguin Press; First Edition edition (March 14, 2017)",English,1594205612,978-1594205613,6.6 x 1.4 x 9.6 inches,1.5 pounds,3.5 out of 5 stars,"#287,242 in Books"
The Man Who Mistook His Wife for a Hat: And Other Clinical Tales,Oliver Sacks,780,$9.99,,"Brilliance Audio; Unabridged edition (April 15, 2014)",English,1491514078,978-1491514078,5.5 x 5.5 x 0.2 inches,2.4 ounces,4.2 out of 5 stars,"#388,495 in Books"
The Uninhabitable Earth: Life After Warming,David Wallace-Wells,238,$17.70,,"Tim Duggan Books; 1st Edition edition (February 19, 2019)",English,0525576703,978-0525576709,5.8 x 1.2 x 9.5 inches,1.1 pounds,4.3 out of 5 stars,#605 in Books
"The Unwinding of the Miracle: A Memoir of Life, Death, and Everything That Comes After",Julie Yip-Williams,143,$16.67,,"Random House (February 5, 2019)",English,0525511350,978-0525511359,6.3 x 1 x 9.5 inches,1 pounds,4.6 out of 5 stars,"#3,699 in Books"
The Wonderful Wizard of Oz (Dover Children's Evergreen Classics),L. Frank Baum,3544,$4.00,144 pages,"Dover Publications (May 20, 1996)",English,0486291162,978-0486291161,5.5 x 0.5 x 8.5 inches,4 ounces,4.5 out of 5 stars,"#120,404 in Books"
Thick: And Other Essays,Tressie McMillan Cottom,62,$16.50,,"The New Press (January 8, 2019)",English,1620974363,978-1620974360,5.8 x 1 x 8.8 inches,13.6 ounces,4.8 out of 5 stars,"#5,249 in Books"
"Thinking, Fast and Slow",Daniel Kahneman,3119,$12.22,499 pages,"Farrar, Straus and Giroux; 1st edition (April 2, 2013)",English,0374533555,978-0374533557,8.2 x 1.4 x 5.5 inches,1.2 pounds,4.5 out of 5 stars,#343 in Books
"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson, 20th Anniversary Edition",Mitch Albom,3838,$7.89,192 pages,"Broadway Books; Anniversary, Reprint edition (October 8, 2002)",English,9780767905923,978-0767905923,5 x 0.6 x 7.3 inches,5.6 ounces,4.8 out of 5 stars,#783 in Books
We,Yevgeny Zamyatin,416,$7.19,,"Harper Voyager; Reprint edition (August 1, 1983)",English,9780380633135,978-0380633135,4.2 x 0.6 x 6.8 inches,4 ounces,4.0 out of 5 stars,"#264,517 in Books"
